"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2085","test_recipe_page_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestRecipePage","test_blog_reading","",""
"GET /api/recipes/prerequisites has no handler — only POST (admin).
        Verify the route exists but GET returns 405, not 404.
        ","12","test_prerequisites_get_is_not_defined","api","2026-05-30","passed","2026-05-30","TestRecipePrerequisites","test_recipes","",""
"POST /api/memo/check-reminders with an invalid bearer token should return 401, or 200/500 if not configured.","256","test_check_reminders_invalid_token","ai_generated","2026-05-30","passed","2026-05-30","TestMemoCheckReminders","test_memo_20260524","",""
"","25","test_post_items_is_protected","api","2026-05-30","passed","2026-05-30","TestItemsAuthEnforcement","test_items","",""
"","113","test_dates_returns_200","api","2026-05-30","passed","2026-05-30","TestMemoDates","test_note_boards","",""
"POST /api/memo/check-reminders with an invalid bearer token should return 401, or 200/500 if not configured.","242","test_check_reminders_invalid_token","ai_generated","2026-05-30","passed","2026-05-30","TestMemoCheckReminders","test_memo_20260525","",""
"","2285","test_memo_page_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestMemoPage","test_blog_reading","",""
"","198","test_create_missing_title_returns_400","api","2026-05-30","passed","2026-05-30","TestRecipeCRUD","test_recipes","",""
"","13","test_post_items_requires_auth","api","2026-05-30","passed","2026-05-30","TestItemsAuthEnforcement","test_items","",""
"","384","test_search_returns_json","api","2026-05-30","passed","2026-05-30","TestBlogSearch","test_blog","",""
"","688","test_create_recipe","api","2026-05-30","passed","2026-05-30","TestRecipeCRUD","test_recipes","",""
"","311","test_search_returns_results_shape","api","2026-05-30","passed","2026-05-30","TestMemoSearch","test_note_boards","",""
"","37","test_runs_post_unauthorized_returns_401_or_403","ai_generated","2026-05-30","failed","2026-05-30","TestExecutorAuth","test_executor_20260528","",""
"Tag listing must contain at least one navigable blog post link.","2446","test_tag_page_has_post_links[chromium]","e2e","2026-05-30","passed","2026-05-30","TestTagPage","test_listing_pages","",""
"PID 1 must not run as root — verified via /proc/1/status.","97","test_process_runs_as_non_root[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestSecurity","test_container","",""
"","540","test_api_search_endpoint_reachable[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestNetworking","test_container","",""
"","466","test_admin_sees_all_recipes","api","2026-05-30","passed","2026-05-30","TestRecipeList","test_recipes","",""
"GET /api/health should have Cache-Control header set to no-store.","159","test_health_check_headers","ai_generated","2026-05-30","passed","2026-05-30","TestHealth","test_health_20260525","",""
"","4101","test_homepage_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestHomepage","test_blog_reading","",""
"POST /api/blog/reindex has no auth check — it is intentionally open.
        Verify it returns 200 and a JSON summary (not a 4xx/5xx).
        ","1050","test_reindex_accepts_post","api","2026-05-30","passed","2026-05-30","TestBlogReindex","test_blog","",""
"Clicking a search result navigates to the correct article page.","4526","test_search_result_click_navigates_to_article[chromium]","e2e","2026-05-30","passed","2026-05-30","TestNavigationFlows","test_blog_reading","",""
"","26","test_post_stats_returns_json","api","2026-05-30","passed","2026-05-30","TestAnalyticsPost","test_analytics","",""
"","293","test_archive_page_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestArchivePage","test_listing_pages","",""
"","337","test_get_nonexistent_thread_messages_returns_404","ai_generated","2026-05-30","passed","2026-05-30","TestAgentThreads","test_agent_20260528","",""
"","2067","test_runs_list_returns_200","ai_generated","2026-05-30","failed","2026-05-30","TestAgentRuns","test_agent_20260528","",""
"No zombie (defunct) processes should exist.","103","test_no_zombie_processes[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestProcess","test_container","",""
"Login page must render an email/password form.","1227","test_login_page_renders_form[chromium]","e2e","2026-05-30","passed","2026-05-30","TestAuthPages","test_error_pages","",""
"","854","test_spotify_page_has_navbar[chromium]","e2e","2026-05-30","passed","2026-05-30","TestSpotifyPage","test_content_pages","",""
"Homepage should render at least one blog post card with a navigable link.","3819","test_homepage_has_post_links[chromium]","e2e","2026-05-30","passed","2026-05-30","TestHomepage","test_blog_reading","",""
"","320","test_runtime_health_returns_200_or_503","ai_generated","2026-05-30","failed","2026-05-30","TestExecutorRuntimeHealth","test_executor_20260528","",""
"","291","test_search_limit_capped_at_12","api","2026-05-30","passed","2026-05-30","TestMemoSearch","test_note_boards","",""
"","300","test_runs_post_invalid_body_returns_400","ai_generated","2026-05-30","failed","2026-05-30","TestExecutorRunsExecution","test_executor_20260528","",""
"POST /api/changelog should return 405 Method Not Allowed or 404.","9","test_changelog_invalid_method","ai_generated","2026-05-30","passed","2026-05-30","TestChangelog","test_changelog_20260525","",""
"GET /api/memo/check-reminders should return 405 Method Not Allowed or 404.","8","test_check_reminders_invalid_method","ai_generated","2026-05-30","passed","2026-05-30","TestMemoCheckReminders","test_memo_20260524","",""
"","51","test_commit_run_unauthorized_returns_401_or_403","ai_generated","2026-05-30","failed","2026-05-30","TestCalorieAuth","test_calorie_20260528","",""
"Memo habits server is a library module, not an HTTP endpoint.","2","test_library_only","ai_generated","2026-05-30","skipped","2026-05-30","TestMemoHabitsServer","test_memo_habits_server_20260526","",""
"","352","test_create_thread_missing_keys_returns_400","ai_generated","2026-05-30","failed","2026-05-30","TestAgentThreads","test_agent_20260528","",""
"Ntfy is a library module, not an HTTP endpoint.","0","test_library_only","ai_generated","2026-05-30","skipped","2026-05-30","TestNtfy","test_ntfy_20260525","",""
"GET /api/changelog should return 200 with latest entry, even if null.","570","test_get_changelog_latest_returns_200","ai_generated","2026-05-30","passed","2026-05-30","TestChangelog","test_changelog_20260525","",""
"","768","test_memo_board_response_shape","api","2026-05-30","passed","2026-05-30","TestMemoBoardList","test_note_boards","",""
"","430","test_patch_recipe","api","2026-05-30","passed","2026-05-30","TestRecipeCRUD","test_recipes","",""
"Clicking a category link on an article page navigates to the category listing.","5548","test_article_category_link_navigates[chromium]","e2e","2026-05-30","passed","2026-05-30","TestNavigationFlows","test_blog_reading","",""
"Dockerfile creates a 'nextjs' user for running the app.","114","test_nextjs_user_exists[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestSecurity","test_container","",""
"","10","test_invalid_board_slug_returns_404","api","2026-05-30","passed","2026-05-30","TestGuestbookBoard","test_note_boards","",""
"POST /api/health should return 405 Method Not Allowed or 404.","12","test_health_check_invalid_method","ai_generated","2026-05-30","passed","2026-05-30","TestHealth","test_health_20260525","",""
"","12","test_prerequisites_post_requires_admin","api","2026-05-30","passed","2026-05-30","TestRecipePrerequisites","test_recipes","",""
"","295","test_discard_nonexistent_run_returns_404","ai_generated","2026-05-30","passed","2026-05-30","TestCalorieRuns","test_calorie_20260528","",""
"","892","test_login_page_has_password_input[chromium]","e2e","2026-05-30","passed","2026-05-30","TestAuthPages","test_error_pages","",""
"Search page without a query should show a search prompt, not an error.","1338","test_search_empty_query_shows_prompt[chromium]","e2e","2026-05-30","passed","2026-05-30","TestSearch","test_blog_reading","",""
"Next.js server process must be running as PID 1.

        The standalone image runs `node server.js` directly; the kernel
        names the process ""next-server (v..."" in /proc/1/comm. We check
        for ""next"" to be robust across minor version changes.
        ","97","test_nextjs_server_process_running[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestProcess","test_container","",""
"","2863","test_homepage_loads_on_mobile[chromium]","e2e","2026-05-30","passed","2026-05-30","TestMobileViewport","test_mobile","",""
"","11","test_search_short_query_returns_empty","api","2026-05-30","passed","2026-05-30","TestMemoSearch","test_note_boards","",""
"","3770","test_tag_page_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestTagPage","test_listing_pages","",""
"","198","test_search_pagination_params","api","2026-05-30","passed","2026-05-30","TestBlogSearch","test_blog","",""
"","1602","test_now_watching_page_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestNowWatchingPage","test_content_pages","",""
"","117","test_agenda_response_is_array","api","2026-05-30","passed","2026-05-30","TestMemoAgenda","test_note_boards","",""
"Standalone build output must be present.","137","test_next_build_output_exists[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestFileSystem","test_container","",""
"Category listing must contain navigable blog post links.","2971","test_category_page_has_post_links[chromium]","e2e","2026-05-30","passed","2026-05-30","TestCategoryPage","test_listing_pages","",""
"Book shell container should be present after page load.","2252","test_recipe_book_shell_rendered[chromium]","e2e","2026-05-30","passed","2026-05-30","TestRecipePage","test_blog_reading","",""
"No unexpected privileged port (< 1024) should be listening.

        Next.js internally binds ephemeral high ports for IPC — those are
        allowed. Only flag well-known port range (< 1024) surprises.
        ","93","test_no_unexpected_privileged_ports_listening[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestNetworking","test_container","",""
"","497","test_app_directory_exists[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestFileSystem","test_container","",""
"","123","test_agenda_returns_200","api","2026-05-30","passed","2026-05-30","TestMemoAgenda","test_note_boards","",""
"","330","test_memo_board_filter_by_tag","api","2026-05-30","passed","2026-05-30","TestMemoBoardList","test_note_boards","",""
"GET /api/health should return 200 with status 'ok'.","214","test_health_check_returns_200","ai_generated","2026-05-30","passed","2026-05-30","TestHealth","test_health_20260524","",""
"POST /api/memo/check-reminders with the correct token if configured.
        
        Uses dynamic environment access to follow the strict imports policy.
        ","286","test_check_reminders_with_token","ai_generated","2026-05-30","passed","2026-05-30","TestMemoCheckReminders","test_memo_20260523","",""
"","338","test_memo_board_sort_time_desc","api","2026-05-30","passed","2026-05-30","TestMemoBoardList","test_note_boards","",""
"","123","test_get_nonexistent_recipe_returns_404","api","2026-05-30","passed","2026-05-30","TestRecipeCRUD","test_recipes","",""
"","818","test_special_characters_do_not_crash","api","2026-05-30","passed","2026-05-30","TestBlogSearch","test_blog","",""
"","199","test_search_result_fields","api","2026-05-30","passed","2026-05-30","TestBlogSearch","test_blog","",""
"POST /api/memo/check-reminders with an invalid bearer token.
        
        Should return 401 if token is configured, or 200/500 if not.
        ","248","test_check_reminders_invalid_token","ai_generated","2026-05-30","passed","2026-05-30","TestMemoCheckReminders","test_memo_20260523","",""
"Write and delete a probe file using node (touch is not in alpine).","165","test_cache_directory_writable[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestFileSystem","test_container","",""
"Queries shorter than SEARCH_MIN_QUERY_LENGTH return empty results without error.","10","test_short_query_returns_empty","api","2026-05-30","passed","2026-05-30","TestBlogSearch","test_blog","",""
"","109","test_tags_have_name_and_count","api","2026-05-30","passed","2026-05-30","TestMemoTags","test_note_boards","",""
"","894","test_delete_recipe","api","2026-05-30","passed","2026-05-30","TestRecipeCRUD","test_recipes","",""
"","44","test_runtime_health_unauthorized_returns_401_or_403","ai_generated","2026-05-30","failed","2026-05-30","TestExecutorAuth","test_executor_20260528","",""
"Navigation must still be accessible on 404 pages.","820","test_404_page_navbar_survives[chromium]","e2e","2026-05-30","passed","2026-05-30","TestErrorPages","test_error_pages","",""
"Article page must render an h1 heading (article title).","2379","test_blog_article_renders_heading[chromium]","e2e","2026-05-30","passed","2026-05-30","TestBlogArticlePage","test_blog_reading","",""
"","4255","test_trend_radar_page_has_main[chromium]","e2e","2026-05-30","passed","2026-05-30","TestTrendRadarPage","test_content_pages","",""
"","314","test_get_recipe_by_slug","api","2026-05-30","passed","2026-05-30","TestRecipeCRUD","test_recipes","",""
"","316","test_post_message_to_nonexistent_thread_returns_404","ai_generated","2026-05-30","passed","2026-05-30","TestAgentThreads","test_agent_20260528","",""
"","321","test_commit_invalid_payload_returns_400","ai_generated","2026-05-30","failed","2026-05-30","TestCalorieRuns","test_calorie_20260528","",""
"","845","test_search_page_accessible_on_mobile[chromium]","e2e","2026-05-30","passed","2026-05-30","TestMobileViewport","test_mobile","",""
"","110","test_dates_response_is_array","api","2026-05-30","passed","2026-05-30","TestMemoDates","test_note_boards","",""
"","187","test_cache_control_header_present","api","2026-05-30","passed","2026-05-30","TestBlogSearch","test_blog","",""
"Next.js must listen on port 3000 inside the container.

        Uses /proc/net/tcp and /proc/net/tcp6 because ss/netstat are not
        present in the minimal node-alpine image.
        ","157","test_app_port_listening_inside_container[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestNetworking","test_container","",""
"","205","test_runs_list_unauthorized_returns_401_or_403","ai_generated","2026-05-30","failed","2026-05-30","TestAgentAuth","test_agent_20260528","",""
"A blog slug that doesn't exist should render 404, not 500.","658","test_nonexistent_blog_slug_is_404[chromium]","e2e","2026-05-30","passed","2026-05-30","TestErrorPages","test_error_pages","",""
"","2314","test_homepage_no_console_errors[chromium]","e2e","2026-05-30","passed","2026-05-30","TestHomepage","test_blog_reading","",""
"","62","test_delete_meal_unauthorized_returns_401_or_403","ai_generated","2026-05-30","failed","2026-05-30","TestCalorieAuth","test_calorie_20260528","",""
"","372","test_get_nonexistent_thread_returns_404","ai_generated","2026-05-30","passed","2026-05-30","TestAgentThreads","test_agent_20260528","",""
"Container's main process should be alive.","104","test_process_has_uptime[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestProcess","test_container","",""
"","1728","test_trend_radar_page_has_navbar[chromium]","e2e","2026-05-30","passed","2026-05-30","TestTrendRadarPage","test_content_pages","",""
"","1614","test_spotify_page_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestSpotifyPage","test_content_pages","",""
"Memo habits server is a library module, not an HTTP endpoint.","0","test_library_only","ai_generated","2026-05-30","skipped","2026-05-30","TestMemoHabitsServer","test_memo_habits_server_20260524","",""
"","135","test_list_returns_array","api","2026-05-30","passed","2026-05-30","TestRecipeList","test_recipes","",""
"Clicking a blog post card on the homepage navigates to the article page with an h1.","10709","test_homepage_post_click_navigates_to_article[chromium]","e2e","2026-05-30","passed","2026-05-30","TestNavigationFlows","test_blog_reading","",""
"Archive year page must contain post links from that year.","743","test_archive_page_has_post_links[chromium]","e2e","2026-05-30","skipped","2026-05-30","TestArchivePage","test_listing_pages","",""
"","215","test_search_response_shape","api","2026-05-30","passed","2026-05-30","TestBlogSearch","test_blog","",""
"","118","test_list_items_have_required_fields","api","2026-05-30","passed","2026-05-30","TestRecipeList","test_recipes","",""
"Clicking a post in the category listing navigates to the article.","6343","test_category_post_link_navigates[chromium]","e2e","2026-05-30","passed","2026-05-30","TestCategoryPage","test_listing_pages","",""
"","1712","test_guestbook_page_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestGuestbookPage","test_blog_reading","",""
"POST /api/memo/check-reminders without token should return 401, or 200/500 if not configured.","232","test_check_reminders_unauthorized","ai_generated","2026-05-30","passed","2026-05-30","TestMemoCheckReminders","test_memo_20260525","",""
"Next.js should log startup messages.","2105","test_app_produces_stdout_output[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestLogging","test_container","",""
"","854","test_login_page_has_email_input[chromium]","e2e","2026-05-30","passed","2026-05-30","TestAuthPages","test_error_pages","",""
"Page must not exceed viewport width (horizontal scroll on mobile is a layout bug).","2316","test_homepage_no_horizontal_overflow[chromium]","e2e","2026-05-30","passed","2026-05-30","TestMobileViewport","test_mobile","",""
"","13","test_empty_query_returns_empty","api","2026-05-30","passed","2026-05-30","TestBlogSearch","test_blog","",""
"","304","test_commit_nonexistent_run_returns_404","ai_generated","2026-05-30","passed","2026-05-30","TestCalorieRuns","test_calorie_20260528","",""
"","3150","test_trend_radar_page_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestTrendRadarPage","test_content_pages","",""
"","42","test_discard_run_unauthorized_returns_401_or_403","ai_generated","2026-05-30","failed","2026-05-30","TestCalorieAuth","test_calorie_20260528","",""
"","13","test_guestbook_post_returns_410","api","2026-05-30","passed","2026-05-30","TestGuestbookBoard","test_note_boards","",""
"","369","test_delete_nonexistent_meal_returns_404","ai_generated","2026-05-30","passed","2026-05-30","TestCalorieMeals","test_calorie_20260528","",""
"","3746","test_blog_article_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestBlogArticlePage","test_blog_reading","",""
"Verify the app responds to HTTP requests (indicates no crash).","329","test_no_crash_in_recent_output[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestLogging","test_container","",""
"","1917","test_tag_page_has_navbar[chromium]","e2e","2026-05-30","passed","2026-05-30","TestTagPage","test_listing_pages","",""
"","13","test_overview_30d_range","api","2026-05-30","passed","2026-05-30","TestAnalyticsOverview","test_analytics","",""
"POST /api/memo/check-reminders without Authorization header.
        
        Should return 401 if token is configured, or 200/500 if not.
        ","350","test_check_reminders_no_token_status","ai_generated","2026-05-30","passed","2026-05-30","TestMemoCheckReminders","test_memo_20260523","",""
"Navigation must be reachable on mobile (bottom dock must be visible).","1952","test_navbar_accessible_on_mobile[chromium]","e2e","2026-05-30","passed","2026-05-30","TestMobileViewport","test_mobile","",""
"","114","test_static_files_exist[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestFileSystem","test_container","",""
"","11","test_guestbook_list_returns_410","api","2026-05-30","passed","2026-05-30","TestGuestbookBoard","test_note_boards","",""
"","30","test_overview_returns_json","api","2026-05-30","passed","2026-05-30","TestAnalyticsOverview","test_analytics","",""
"","1100","test_search_page_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestSearch","test_blog_reading","",""
"GET /api/health should have Cache-Control header set to no-store.","213","test_health_check_headers","ai_generated","2026-05-30","passed","2026-05-30","TestHealth","test_health_20260524","",""
"A completely unknown URL must trigger the custom 404 page, not a server crash.","1270","test_nonexistent_route_renders_404_not_500[chromium]","e2e","2026-05-30","passed","2026-05-30","TestErrorPages","test_error_pages","",""
"","16","test_reorder_requires_auth","api","2026-05-30","passed","2026-05-30","TestItemsAuthEnforcement","test_items","",""
"Health check: GET / returns HTTP 200.","3202","test_health_endpoint_responds_200[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestNetworking","test_container","",""
"Suspense streaming should resolve and render the note-board canvas.","3944","test_memo_page_streaming_completes[chromium]","e2e","2026-05-30","passed","2026-05-30","TestMemoPage","test_blog_reading","",""
"GET /api/memo/check-reminders should return 405 Method Not Allowed or 404.","10","test_check_reminders_invalid_method","ai_generated","2026-05-30","passed","2026-05-30","TestMemoCheckReminders","test_memo_20260525","",""
"GET /api/health should return 200 or 503 depending on database status.","176","test_health_check_returns_valid_status","ai_generated","2026-05-30","passed","2026-05-30","TestHealth","test_health_20260525","",""
"DELETE /api/items/[id] returns 404 for an unknown UUID.","800","test_delete_nonexistent_item_returns_404","api","2026-05-30","passed","2026-05-30","TestItemsAdminAccess","test_items","",""
"Navigating to /search?q=memo should render article links in the result list.","2719","test_search_url_shows_results[chromium]","e2e","2026-05-30","passed","2026-05-30","TestSearch","test_blog_reading","",""
"","1348","test_memo_board_returns_200","api","2026-05-30","passed","2026-05-30","TestMemoBoardList","test_note_boards","",""
"Secrets should not appear in the process command line.","103","test_no_sensitive_env_in_process_list[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestSecurity","test_container","",""
"Memo habits is a library module, not an HTTP endpoint.","1","test_library_only","ai_generated","2026-05-30","skipped","2026-05-30","TestMemoHabits","test_memo_habits_20260524","",""
"","4153","test_blog_article_renders_on_mobile[chromium]","e2e","2026-05-30","passed","2026-05-30","TestMobileViewport","test_mobile","",""
